ticker,company_name,asset_type,universe_name,source_type,source_name,strategy_role,account_target,target_weight,sector,industry,cusip,cik,date_added,as_of_date,notes,active
EQIX,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00367207,-,,,,,21/05/2026,,True
LMT,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0036695,-,,,,,21/05/2026,,True
GS,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00359883,-,,,,,21/05/2026,,True
SO,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00359862,-,,,,,21/05/2026,,True
ADBE,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0034746,-,,,,,21/05/2026,,True
MDT,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00347443,-,,,,,21/05/2026,,True
DUK,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00336204,-,,,,,21/05/2026,,True
BA,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00335065,-,,,,,21/05/2026,,True
SNPS,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00334198,-,,,,,21/05/2026,,True
WMB,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00328459,-,,,,,21/05/2026,,True
MS,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00326196,-,,,,,21/05/2026,,True
MCK,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00325639,-,,,,,21/05/2026,,True
TMUS,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00313691,-,,,,,21/05/2026,,True
CMCSA,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00312094,-,,,,,21/05/2026,,True
PANW,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00311692,-,,,,,21/05/2026,,True
FCX,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00310409,-,,,,,21/05/2026,,True
BX,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00307733,-,,,,,21/05/2026,,True
ADP,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00307214,-,,,,,21/05/2026,,True
PNC,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00305711,-,,,,,21/05/2026,,True
ICE,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00298385,-,,,,,21/05/2026,,True
AMT,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00298206,-,,,,,21/05/2026,,True
ELV,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00298196,-,,,,,21/05/2026,,True
SLB,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00296747,-,,,,,21/05/2026,,True
CSX,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00296155,-,,,,,21/05/2026,,True
USB,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00293989,-,,,,,21/05/2026,,True
FDX,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00291614,-,,,,,21/05/2026,,True
WM,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00280076,-,,,,,21/05/2026,,True
MRSH,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00277104,-,,,,,21/05/2026,,True
MMM,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00275327,-,,,,,21/05/2026,,True
MDLZ,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00273284,-,,,,,21/05/2026,,True
TJX,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00272795,-,,,,,21/05/2026,,True
EOG,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00263279,-,,,,,21/05/2026,,True
EMR,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00262797,-,,,,,21/05/2026,,True
NXPI,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00261371,-,,,,,21/05/2026,,True
DELL,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0026043,-,,,,,21/05/2026,,True
GILD,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0025817,-,,,,,21/05/2026,,True
CI,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00257622,-,,,,,21/05/2026,,True
NOC,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00255313,-,,,,,21/05/2026,,True
VLO,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00254893,-,,,,,21/05/2026,,True
MPC,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00254046,-,,,,,21/05/2026,,True
CL,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00252732,-,,,,,21/05/2026,,True
UPS,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00251707,-,,,,,21/05/2026,,True
SPGI,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00246945,-,,,,,21/05/2026,,True
SHW,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0024653,-,,,,,21/05/2026,,True
PSX,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00243063,-,,,,,21/05/2026,,True
AEP,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00243017,-,,,,,21/05/2026,,True
NSC,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00242536,-,,,,,21/05/2026,,True
GM,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00241953,-,,,,,21/05/2026,,True
AON,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00241295,-,,,,,21/05/2026,,True
CRH,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00234759,-,,,,,21/05/2026,,True
WBD,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00232838,-,,,,,21/05/2026,,True
TRV,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0023036,-,,,,,21/05/2026,,True
MSI,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00230032,-,,,,,21/05/2026,,True
KMI,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00227366,-,,,,,21/05/2026,,True
ITW,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00227293,-,,,,,21/05/2026,,True
BKR,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00225433,-,,,,,21/05/2026,,True
REGN,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00224703,-,,,,,21/05/2026,,True
APD,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00223913,-,,,,,21/05/2026,,True
ECL,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00221111,-,,,,,21/05/2026,,True
STX,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00220395,-,,,,,21/05/2026,,True
DLR,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00217506,-,,,,,21/05/2026,,True
SYK,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00217099,-,,,,,21/05/2026,,True
TFC,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00209607,-,,,,,21/05/2026,,True
SRE,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00207165,-,,,,,21/05/2026,,True
CTAS,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00203344,-,,,,,21/05/2026,,True
D,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00202057,-,,,,,21/05/2026,,True
OKE,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00201911,-,,,,,21/05/2026,,True
AMGN,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00201542,-,,,,,21/05/2026,,True
TRGP,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00201189,-,,,,,21/05/2026,,True
KEYS,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00200898,-,,,,,21/05/2026,,True
PCAR,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00199136,-,,,,,21/05/2026,,True
O,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00198473,-,,,,,21/05/2026,,True
LHX,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00198413,-,,,,,21/05/2026,,True
TGT,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0019805,-,,,,,21/05/2026,,True
ALL,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00193721,-,,,,,21/05/2026,,True
AFL,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00190666,-,,,,,21/05/2026,,True
GWW,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00188381,-,,,,,21/05/2026,,True
DVN,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0018815,-,,,,,21/05/2026,,True
F,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00185819,-,,,,,21/05/2026,,True
AJG,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0018478,-,,,,,21/05/2026,,True
CTVA,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00184507,-,,,,,21/05/2026,,True
AXP,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00183872,-,,,,,21/05/2026,,True
NKE,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00183366,-,,,,,21/05/2026,,True
NUE,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0017958,-,,,,,21/05/2026,,True
COR,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00178932,-,,,,,21/05/2026,,True
AME,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00177981,-,,,,,21/05/2026,,True
PGR,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00177772,-,,,,,21/05/2026,,True
ETR,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00176101,-,,,,,21/05/2026,,True
FAST,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0017318,-,,,,,21/05/2026,,True
DAL,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00170452,-,,,,,21/05/2026,,True
MCHP,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00170022,-,,,,,21/05/2026,,True
CARR,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00169777,-,,,,,21/05/2026,,True
PSA,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00167016,-,,,,,21/05/2026,,True
PH,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0016649,-,,,,,21/05/2026,,True
XEL,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00164376,-,,,,,21/05/2026,,True
CAH,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00163785,-,,,,,21/05/2026,,True
TT,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00161379,-,,,,,21/05/2026,,True
MET,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00161182,-,,,,,21/05/2026,,True
EXC,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00160927,-,,,,,21/05/2026,,True
GLW,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00160907,-,,,,,21/05/2026,,True
CME,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00159105,-,,,,,21/05/2026,,True
HPE,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00156685,-,,,,,21/05/2026,,True
FITB,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00153504,-,,,,,21/05/2026,,True
WAB,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00150562,-,,,,,21/05/2026,,True
ON,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00149881,-,,,,,21/05/2026,,True
COIN,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00149705,-,,,,,21/05/2026,,True
STT,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00148703,-,,,,,21/05/2026,,True
CMG,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00148194,-,,,,,21/05/2026,,True
OXY,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00146624,-,,,,,21/05/2026,,True
AIG,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00146525,-,,,,,21/05/2026,,True
RSG,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00145069,-,,,,,21/05/2026,,True
BDX,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00144762,-,,,,,21/05/2026,,True
AMP,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00142832,-,,,,,21/05/2026,,True
PYPL,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00141489,-,,,,,21/05/2026,,True
NOW,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00141165,-,,,,,21/05/2026,,True
NDAQ,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00140856,-,,,,,21/05/2026,,True
GD,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00140294,-,,,,,21/05/2026,,True
CCI,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00139004,-,,,,,21/05/2026,,True
SPG,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00136341,-,,,,,21/05/2026,,True
GRMN,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00135819,-,,,,,21/05/2026,,True
PEG,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0013576,-,,,,,21/05/2026,,True
KDP,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0013551,-,,,,,21/05/2026,,True
KR,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00135465,-,,,,,21/05/2026,,True
FANG,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00135128,-,,,,,21/05/2026,,True
DHI,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00134769,-,,,,,21/05/2026,,True
ED,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00134336,-,,,,,21/05/2026,,True
ODFL,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00132396,-,,,,,21/05/2026,,True
CBRE,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00132127,-,,,,,21/05/2026,,True
HIG,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00131439,-,,,,,21/05/2026,,True
IRM,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00130555,-,,,,,21/05/2026,,True
INTU,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00130449,-,,,,,21/05/2026,,True
XYZ,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00130326,-,,,,,21/05/2026,,True
ADM,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00128465,-,,,,,21/05/2026,,True
SYY,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00127998,-,,,,,21/05/2026,,True
HUM,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00127047,-,,,,,21/05/2026,,True
ROST,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00126968,-,,,,,21/05/2026,,True
WEC,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00126432,-,,,,,21/05/2026,,True
PRU,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00126077,-,,,,,21/05/2026,,True
CDNS,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00125371,-,,,,,21/05/2026,,True
PCG,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00125222,-,,,,,21/05/2026,,True
EQT,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00124886,-,,,,,21/05/2026,,True
MCO,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00123029,-,,,,,21/05/2026,,True
BNY,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00122867,-,,,,,21/05/2026,,True
HAL,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0012202,-,,,,,21/05/2026,,True
ROP,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0011981,-,,,,,21/05/2026,,True
VMC,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00119792,-,,,,,21/05/2026,,True
ACGL,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00119307,-,,,,,21/05/2026,,True
ZTS,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00117223,-,,,,,21/05/2026,,True
KVUE,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00116026,-,,,,,21/05/2026,,True
WAT,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00115733,-,,,,,21/05/2026,,True
KMB,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00113662,-,,,,,21/05/2026,,True
A,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00112458,-,,,,,21/05/2026,,True
MLM,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00112316,-,,,,,21/05/2026,,True
MTB,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00111923,-,,,,,21/05/2026,,True
